repo_name,ref,stars,forks,watchers,contributors,commits,created_at,updated_at,url,created_hash,updated_hash,branch
jOOQ,friesen,6643,1227,151,85,14365,2011-07-24T15:06:06+00:00,2026-01-23T13:24:46+00:00,https://github.com/jOOQ/jOOQ,15e2d1c6721c60d4fedc342b961b7b74bc46cefa,b9135b8fd9a89ea1d58444517875906c6149d10a,main
junit4,chowdhury#grund,8530,3283,570,145,2518,2000-12-03T14:36:14+00:00,2025-11-26T13:17:18+00:00,https://github.com/junit-team/junit4,b6a0693454ac8ded32b3a1ea7c859c5a840169dc,71c33ce555230d9dfb6cab5e133e22a4cc95cdff,main
junit5,chowdhury#grund,6956,1648,265,249,10487,2015-06-04T13:33:07+00:00,2026-01-28T17:29:59+00:00,https://github.com/junit-team/junit5,92c14e9cec7862254d06019043d081d4e8c64789,09dd24418b02bf37557fb6dfe7eb76bc3bae68d5,main
kafka,islam,31796,14925,1052,346,16897,2011-08-01T23:41:24+00:00,2026-01-28T17:48:58+00:00,https://github.com/apache/kafka,642da2f28c9bc6e373603d6d9119ce33684090f5,62206cfc5461629818a34723fee7817b369a6f7e,trunk
lombok,chowdhury,13374,2465,379,141,3985,2009-06-08T20:26:30+00:00,2025-10-19T01:29:34+00:00,https://github.com/projectlombok/lombok,1677c4a52a0aea1b955f7c2c7d096903d4a8c5ce,04876622d9ceeed82a97ff5463e6052bb46a08c3,master
lucene,chowdhury#grund,3318,1278,90,558,38850,2001-09-11T21:44:36+00:00,2026-01-29T21:18:18+00:00,https://github.com/apache/lucene,a0e7ee9d0d12370e8d2b5ae0a23b6e687e018d85,a06c51e41bc14ae0d7786cf78388b691e0dfb08b,main
mage,friesen,2183,859,93,315,50188,2010-03-20T02:47:42+00:00,2026-01-27T18:02:30+00:00,https://github.com/magefree/mage,a4ecfa58fa632ae0b1ee715ab474889c67a2f105,13ab6f6151d03be5344685a9e0d92c1ba50c6577,master
metrics,friesen,7853,1801,355,204,4165,2011-05-11T03:14:58+00:00,2026-01-27T21:27:16+00:00,https://github.com/dropwizard/metrics,0a1a6240b08ac55655dd1468f7007d5d6fc15e05,d98d0ffac12ad43f1c437dc21bb9b3d228a21718,release/4.2.x
Mindustry,friesen,26340,3341,545,380,19920,2017-04-30T01:25:59+00:00,2026-01-25T00:22:24+00:00,https://github.com/Anuken/Mindustry,74e0680841e0d235caf1d2b1a4ac6da64c50a40c,2ad41a904753a47f6fb1a7b64dbea46204ce207e,master
MinecraftForge,friesen,7483,2796,324,370,9002,2011-07-12T21:02:20+00:00,2026-01-23T22:28:27+00:00,https://github.com/MinecraftForge/MinecraftForge,999ef3817a7ddfd21043a69f8af5dcf2c028b945,07f64991431d7a2c088ee7ee3172ac9400d5b9bc,1.21.11
mockito,chowdhury#grund,15408,2656,413,303,6321,2007-11-15T10:29:55+00:00,2026-01-05T18:08:55+00:00,https://github.com/mockito/mockito,7cf6470d88491fe472e28493b50eba8a6fbf0433,d16fcfc274d7ca03a2b4bdc22dd7c3ec6dac8690,main
mongo-java-driver,chowdhury,2653,1491,210,184,8751,2009-01-06T18:39:13+00:00,2026-01-26T23:57:26+00:00,https://github.com/mongodb/mongo-java-driver,f13afc7902839eff968d5abd88f3d9a40c90f7a1,475aa6c471f42b7af6097172dbeb3773468fe269,main
MPAndroidChart,islam,38212,9054,1099,64,2072,2014-04-25T14:29:47+00:00,2025-06-05T07:06:39+00:00,https://github.com/PhilJay/MPAndroidChart,d663bdc5181c4146a3cf77833de7a89448528763,9c7275a0596a7ac0e50ca566e680f7f9d73607af,master
mybatis-plus,friesen,17285,4451,79,190,6137,2016-01-22T07:13:40+00:00,2026-01-11T12:03:09+00:00,https://github.com/baomidou/mybatis-plus,565b6148e894aac77eba9bc298fc70d9bad03b86,9c06ccaf4a42ec4d96d8494d145be74e3261d700,3.0
nacos,friesen,32580,13248,901,386,5639,2018-07-20T16:27:23+00:00,2026-01-28T02:05:17+00:00,https://github.com/alibaba/nacos,91d20f34fdec6b77b0b27c874983ca57a2feb584,d8654928e488aa0835927087912efb024edddb77,develop
